image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
3407.png,0.4197837325239532,mixed_or_low_priority,0.9274839101498907,0.9189876442077958,0.9354427107222978,0.9356046424560089,0.9163915455566523,0.27817719278840836,0.24501884760366183,0.19505895096446277,0.18660167479065118,0.20755738865975087,1.0,1.0,1.0,10.0,10.0,8.0,2.0,0.0,0.00845727617381159,0.019213096899356685,0.00849626594209496,0.03315834518474653
7252.png,0.41710548050535723,mixed_or_low_priority,0.9372387426922333,0.9333762134833141,0.9424980511553339,0.9235482523325442,0.9146798202859886,0.18550692764460083,0.19430070432657756,0.18843539488523792,0.17767549608315297,0.21403968665223885,1.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.010759898802084944,0.00886843204655563,0.003862529208919163,-0.008793776681976728
2498.png,0.40843518248953975,mixed_or_low_priority,0.9213934121848507,0.9124769308204239,0.930207034955277,0.9424743001228422,0.9230296760845671,0.22355130249867092,0.21229929688319865,0.2566205078860394,0.2536083336819646,0.25929799606743925,1.0,1.0,1.0,4.0,3.0,2.0,2.0,0.0,0.003012174204074791,0.01944462403827507,0.008916481364426798,0.011252005615472266
7035.png,0.3974768157679199,mixed_or_low_priority,0.9336329984135379,0.9344950578449308,0.9410234735678523,0.9329176464371581,0.9379640149013184,0.34624260781768357,0.34940531301189376,0.11789062871829042,0.1245538051496835,0.13640474037408976,1.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,-0.005046368464160289,-0.0008620594313929475,-0.0031627051942101914
9194.png,0.39294073149379155,recall_risk_do_not_cut_aggressively,0.8778888098258206,0.8777437080664258,0.8866179458410407,0.8431186118374139,0.8590444497266461,0.2764052583862194,0.27062275839582656,0.09415326941100137,0.1161415903683945,0.10720207627424122,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,-0.015925837889232186,0.00014510175939486114,0.00578249999039282
2050.png,0.3129925403871676,gap_fp_candidate,0.890068981601916,0.8939149958132816,0.8975840575094408,0.972079079883222,0.9517408938613163,0.17433593083442353,0.1894810357795208,0.43714246487574937,0.36181410461763763,0.38794563177886593,1.0,1.0,1.0,7.0,6.0,6.0,1.0,0.0,0.07532836025811174,0.020338186021905624,-0.003846014211365545,-0.01514510494509727
14543.png,0.21315184053523745,mixed_or_low_priority,0.9391355890343295,0.92533761675293,0.942660237012163,0.9580553483965896,0.9405196218732993,0.3463405641246236,0.28165824769203973,0.16531888286786162,0.18520216756982075,0.18795331388078365,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.017535726523290274,0.013797972281399451,0.06468231643258388
1954.png,0.20782458895433806,mixed_or_low_priority,0.9333773435437022,0.9216468050496835,0.9334637537499508,0.9329667429174732,0.9172356149920816,0.1870672367475122,0.15445420787528955,0.2146208207138191,0.2311895005641665,0.24048340162717502,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.015731127925391553,0.011730538494018616,0.032613028872222644
7484.png,0.19906119998762828,recall_risk_do_not_cut_aggressively,0.8865558688232675,0.8807017543859649,0.8916924195600799,0.8776994270603791,0.8849713530189511,0.28598031391327483,0.2777560848626838,0.12251743313619913,0.1458204607644099,0.14370200370729985,1.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,-0.0072719259585720675,0.00585411443730266,0.008224229050591003
14289.png,0.19732230144674553,mixed_or_low_priority,0.9302358759748907,0.9255379618351603,0.9403031741803991,0.9141935785390475,0.9322101229144273,0.31100911050838026,0.27663514317836124,0.1026497858521203,0.1626582576363722,0.13917258907139832,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,-0.018016544375379806,0.004697914139730308,0.03437396733001902
